선수ID,선수이름,포지션,보유신규특성,국가,주발,약발,클럽1,클럽2,클럽3,클럽4,클럽5,클럽6,클럽7,클럽8
100006235,파벨 네드베드,CAM,2개의 심장,체코,양발,5,유벤투스,라티움,스파르타 프라하,,,,,
100006975,프레디 융베리,RM,2개의 심장,스웨덴,양발,5,셀틱,웨스트 햄 유나이티드,아스널,,,,,
100007289,리오 퍼디난드,CB,와일드 태클러,잉글랜드,오른발,3,맨체스터 유나이티드,리즈 유나이티드,웨스트 햄 유나이티드,,,,,
100007512,에르난 크레스포,ST,라인 브레이커,아르헨티나,양발,5,파르마,제노아,롬바르디아 FC,밀라노 FC,첼시,라티움,,
100007518,베론,CM,커맨더,아르헨티나,오른발,4,롬바르디아 FC,첼시,맨체스터 유나이티드,라티움,파르마,삼프도리아,,
100007763,안드레아 피를로,CM,커맨더,이탈리아,양발,5,유벤투스,밀라노 FC,롬바르디아 FC,,,,,
100007826,로빈 반페르시,ST,아크로바틱 피니셔,네덜란드,양발,5,페예노르트,맨체스터 유나이티드,아스널,,,,,
100009676,사뮈엘 에토,ST,라인 브레이커,카메룬,양발,5,삼프도리아,에버턴,첼시,롬바르디아 FC,FC 바르셀로나,RCD 마요르카,레알 마드리드,RCD 에스파뇰
100010264,뤼트 반니스텔로이,ST,크로스 포쳐,네덜란드,오른발,4,함부르크 SV,레알 마드리드,맨체스터 유나이티드,,,,,
100010535,차비,CM,커맨더,스페인,오른발,4,FC 바르셀로나,,,,,,,
100011141,미로슬라프 클로제,ST,크로스 포쳐,독일,오른발,4,라티움,바이에른 뮌헨,베르더 브레멘,,,,,
100013038,카를레스 푸욜,CB,와일드 태클러,스페인,오른발,3,FC 바르셀로나,,,,,,,
100013128,안드리 셰우첸코,ST,크로스 포쳐,우크라이나,양발,5,디나모 키이우,밀라노 FC,첼시,,,,,
100013383,나카타 히데토시,CAM,아크로바틱 피니셔,일본,양발,5,피오렌티나,볼로냐,파르마,AS 로마,,,,
100013743,스티븐 제라드,CAM,커맨더,잉글랜드,양발,5,LA 갤럭시,리버풀,,,,,,
100020289,야야 투레,CM,커맨더,코트디부아르,양발,5,맨체스터 시티,FC 바르셀로나,AS 모나코,,,,,
100023174,리켈메,CAM,커맨더,아르헨티나,오른발,4,비야레알 CF,FC 바르셀로나,,,,,,
100028130,호나우지뉴,LW,커맨더,브라질,오른발,4,밀라노 FC,FC 바르셀로나,파리 생제르맹,,,,,
100031432,디디에 드로그바,ST,크로스 포쳐,코트디부아르,양발,5,첼시,갈라타사라이,상하이 선화,올랭피크 마르세유,,,,
100034079,애슐리 콜,LB,체이서,잉글랜드,왼발,3,LA 갤럭시,AS 로마,첼시,크리스털 팰리스,아스널,,,
100037576,호나우두,ST,라인 브레이커,브라질,양발,5,밀라노 FC,레알 마드리드,롬바르디아 FC,FC 바르셀로나,,,,
100039943,박지성,CAM,2개의 심장,대한민국,양발,5,맨체스터 유나이티드,,,,,,,
100041236,즐라탄,ST,아크로바틱 피니셔,스웨덴,양발,5,밀라노 FC,LA 갤럭시,맨체스터 유나이티드,파리 생제르맹,FC 바르셀로나,롬바르디아 FC,유벤투스,아약스
100045197,샤비 알론소,CM,커맨더,스페인,오른발,4,바이에른 뮌헨,레알 마드리드,리버풀,SD 에이바르,레알 소시에다드,,,
100045661,라울,CF,크로스 포쳐,스페인,왼발,4,레알 마드리드,,,,,,,
100045674,마이클 에시앙,CDM,2개의 심장,가나,오른발,4,밀라노 FC,레알 마드리드,첼시,올랭피크 리옹,,,,
100048940,페트르 체흐,GK,GK 공중볼 장악,체코,왼발,3,아스널,첼시,스타드 렌,스파르타 프라하,,,,
100049369,페르난도 토레스,ST,라인 브레이커,스페인,양발,5,밀라노 FC,첼시,리버풀,,,,,
100051539,에드윈 반데르사르,GK,GK 공중볼 장악,네덜란드,오른발,3,맨체스터 유나이티드,풀럼,유벤투스,아약스,,,,
100052241,헨릭 라르손,ST,크로스 포쳐,스웨덴,양발,5,맨체스터 유나이티드,FC 바르셀로나,셀틱,페예노르트,,,,
100054050,웨인 루니,ST,크로스 포쳐,잉글랜드,양발,5,에버턴,맨체스터 유나이티드,,,,,,
100121939,필립 람,RB,체이서,독일,양발,5,VfB 슈투트가르트,바이에른 뮌헨,,,,,,
100121944,슈바인슈타이거,CM,커맨더,독일,오른발,4,맨체스터 유나이티드,바이에른 뮌헨,,,,,,
100138449,카카,CAM,스피드스터,브라질,양발,5,밀라노 FC,레알 마드리드,,,,,,
100138956,조르조 키엘리니,CB,파이터,이탈리아,왼발,3,유벤투스,피오렌티나,,,,,,
100140601,네마냐 비디치,CB,파이터,세르비아,오른발,3,롬바르디아 FC,맨체스터 유나이티드,,,,,,
100156353,루이스 에르난데스,ST,크로스 포쳐,멕시코,오른발,3,LA 갤럭시,,,,,,,
100156616,프랑크 리베리,LW,스피드스터,프랑스,양발,5,피오렌티나,바이에른 뮌헨,올랭피크 마르세유,갈라타사라이,FC 메스,,,
100161840,페르난도 이에로,CB,와일드 태클러,스페인,오른발,3,레알 마드리드,레알 바야돌리드,,,,,,
100166124,게오르게 하지,CAM,스피드스터,루마니아,양발,5,갈라타사라이,FC 바르셀로나,레알 마드리드,,,,,
100166149,우고 산체스,ST,크로스 포쳐,멕시코,양발,5,레알 마드리드,,,,,,,
100166691,지쿠,CAM,아크로바틱 피니셔,브라질,양발,5,우디네세,,,,,,,
100166906,프랑코 바레시,CB,와일드 태클러,이탈리아,오른발,4,밀라노 FC,,,,,,,
100167135,카를루스 아우베르투,RB,체이서,브라질,오른발,4,,,,,,,,
100167198,에릭 칸토나,CF,크로스 포쳐,프랑스,양발,5,맨체스터 유나이티드,리즈 유나이티드,몽펠리에 HSC,올랭피크 마르세유,,,,
100167680,로날트 쿠만,CB,파이터,네덜란드,오른발,3,페예노르트,FC 바르셀로나,아약스,,,,,
100168473,베켄바워,CB,커맨더,독일,양발,5,함부르크 SV,바이에른 뮌헨,,,,,,
100173731,가레스 베일,LM,스피드스터,웨일스,왼발,3,토트넘 홋스퍼,레알 마드리드,사우샘프턴,,,,,
100176676,마르셀루,LB,커맨더,브라질,양발,5,레알 마드리드,,,,,,,
100182521,토니 크로스,CM,커맨더,독일,양발,5,레알 마드리드,바이엘 04 레버쿠젠,바이에른 뮌헨,,,,,
100190042,마라도나,CAM,스피드스터,아르헨티나,왼발,3,세비야 FC,SSC 나폴리,FC 바르셀로나,,,,,
100190043,펠레,CF,스피드스터,브라질,양발,5,,,,,,,,
100190044,보비 무어,CB,커맨더,잉글랜드,오른발,4,풀럼,웨스트 햄 유나이티드,,,,,,
100190045,요한 크루이프,CF,크로스 포쳐,네덜란드,양발,5,페예노르트,아약스,레반테 UD,FC 바르셀로나,,,,
100190046,소크라테스,CAM,크로스 포쳐,브라질,양발,5,피오렌티나,,,,,,,
100190048,게르트 뮐러,ST,크로스 포쳐,독일,양발,5,바이에른 뮌헨,,,,,,,
