경기일시,결과,내득점,상대득점,점유율,전체슛,유효슛,감아차기슛,감아차기골,헤딩슛,헤딩골,프리킥슛,프리킥골,PK슛,PK골,박스안슛,박스안골,박스밖슛,박스밖골,패스시도,패스성공,패스성공률(%),숏패스시도,숏패스성공,중거리패스시도,중거리패스성공,롱패스시도,롱패스성공,스루패스시도,스루패스성공,로빙스루시도,로빙스루성공,드리블시도,드리블성공,드리블거리,볼소유시도,볼소유성공,공중볼경합시도,공중볼경합성공,태클시도,태클성공,블락시도,블락성공,가로채기,차단성공,코너킥,오프사이드,파울,경고,퇴장
2026-04-14 2:44,패,1,3,44,5,0,0,0,1,0,0,0,0,0,4,1,1,0,110,99,90,70,66,0,0,8,4,20,18,0,0,0,0,0,0,0,0,0,5,2,3,1,0,0,3,1,1,0,0
2026-04-14 2:32,패,2,3,54,5,0,0,0,3,2,0,0,1,0,3,2,1,0,121,106,87.6,81,73,0,0,12,9,19,16,1,1,0,0,0,0,0,0,0,5,4,5,1,0,0,2,0,0,0,0
2026-04-14 2:20,승,3,1,45,3,0,0,0,0,0,0,0,0,0,3,3,0,0,43,41,95.3,28,27,0,0,2,2,6,6,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0
2026-04-13 3:41,승,3,3,45,6,0,0,0,2,2,0,0,0,0,6,3,0,0,133,114,85.7,83,75,0,0,11,7,26,21,0,0,0,0,0,0,0,0,0,10,5,12,1,0,0,1,4,1,0,0
2026-04-13 3:23,패,2,3,40,3,0,0,0,1,0,0,0,0,0,3,2,0,0,86,77,89.5,48,46,0,0,6,4,20,18,0,0,0,0,0,0,0,0,0,10,5,3,1,0,0,0,0,1,0,0
2026-04-13 3:07,패,2,4,44,3,0,0,0,0,0,1,0,0,0,2,2,1,0,103,86,83.5,63,57,0,0,10,5,21,16,1,1,0,0,0,0,0,0,0,8,6,3,1,0,0,0,0,0,0,0
2026-04-13 2:55,패,1,2,38,1,0,0,0,0,0,0,0,0,0,1,1,0,0,77,62,80.5,43,40,0,0,10,5,16,13,0,0,0,0,0,0,0,0,0,8,4,5,0,0,0,0,0,2,0,0
2026-04-12 3:17,승,3,0,45,6,0,0,0,2,1,0,0,0,0,5,2,1,1,68,59,86.8,35,31,0,0,9,7,20,17,0,0,0,0,0,0,0,0,0,13,9,8,2,0,0,1,1,3,0,0
2026-04-12 3:05,무,2,3,55,5,0,0,0,4,1,0,0,0,0,5,2,0,0,129,118,91.5,69,67,0,0,14,10,30,27,4,4,0,0,0,0,0,0,0,7,3,5,0,0,0,3,1,2,0,0
2026-04-12 2:54,패,1,2,52,4,0,0,0,0,0,0,0,0,0,2,1,2,0,131,120,91.6,92,87,0,0,5,3,19,18,1,1,0,0,0,0,0,0,0,5,2,2,0,0,0,0,3,1,0,0
2026-04-12 2:42,무,1,1,48,5,0,0,0,3,0,0,0,0,0,5,1,0,0,98,87,88.8,62,59,0,0,6,4,17,15,1,1,0,0,0,0,0,0,0,7,3,4,0,0,0,2,0,2,0,0
2026-04-12 2:30,패,4,4,56,9,0,0,0,4,1,0,0,0,0,9,4,0,0,180,164,91.1,126,121,0,0,13,9,26,22,1,1,0,0,0,0,0,0,0,11,4,5,0,0,0,2,0,1,1,0
2026-04-12 2:13,승,2,0,39,2,0,0,0,0,0,0,0,0,0,2,2,0,0,5,4,80,3,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2026-04-12 2:10,승,2,1,42,3,0,0,0,1,1,0,0,0,0,3,2,0,0,92,80,87,58,55,0,0,7,3,16,12,2,2,0,0,0,0,0,0,0,9,5,3,1,0,0,0,1,1,0,0
2026-04-12 1:58,패,2,3,43,5,0,0,0,1,0,1,0,0,0,4,2,1,0,112,106,94.6,73,69,0,0,5,4,20,19,0,0,0,0,0,0,0,0,0,8,5,2,0,0,0,2,1,1,0,0
2026-04-11 23:26,패,2,4,48,5,0,0,0,2,1,0,0,0,0,5,2,0,0,112,102,91.1,70,67,0,0,6,4,22,20,1,0,0,0,0,0,0,0,0,10,5,5,0,0,0,2,1,2,0,0
2026-04-11 23:13,무,2,2,48,2,0,0,0,0,0,0,0,0,0,2,2,0,0,106,101,95.3,62,61,0,0,3,2,25,23,3,3,0,0,0,0,0,0,0,9,5,2,0,0,0,0,0,0,0,0
2026-04-11 23:02,패,2,5,50,6,0,0,0,0,0,1,0,0,0,5,2,1,0,116,105,90.5,76,73,0,0,11,5,16,15,0,0,0,0,0,0,0,0,0,7,2,5,0,0,0,2,1,0,0,0
2026-04-11 22:49,승,4,1,50,10,0,0,0,2,0,0,0,2,1,7,2,1,1,110,97,88.2,71,69,0,0,8,7,20,16,1,0,0,0,0,0,0,0,0,10,7,4,1,0,0,2,0,2,1,0
2026-04-11 22:37,패,1,2,45,8,0,0,0,2,0,2,0,0,0,4,0,4,1,107,90,84.1,66,63,0,0,9,5,21,15,1,1,0,0,0,0,0,0,0,13,7,5,0,0,0,2,1,1,0,0
2026-04-11 22:25,승,5,2,52,10,0,0,0,2,1,0,0,1,1,8,4,1,0,128,121,94.5,76,75,0,0,8,6,23,21,2,1,0,0,0,0,0,0,0,9,4,3,0,0,0,1,0,1,0,0
2026-04-11 22:13,패,4,4,53,8,0,0,0,1,1,0,0,0,0,6,3,2,1,164,150,91.5,109,104,0,0,7,5,21,17,1,0,0,0,0,0,0,0,0,5,3,6,0,0,0,3,0,0,0,0
2026-04-11 21:56,무,0,0,55,2,0,0,0,0,0,0,0,0,0,0,0,2,0,102,84,82.4,59,55,0,0,9,6,15,9,1,0,0,0,0,0,0,0,0,7,6,8,4,0,0,1,1,1,0,0
2026-04-11 21:45,무,3,3,47,4,0,0,0,0,0,0,0,0,0,4,3,0,0,117,106,90.6,79,74,0,0,6,6,23,18,0,0,0,0,0,0,0,0,0,5,3,8,1,0,0,0,0,1,0,0
2026-04-11 21:30,승,6,5,48,8,0,0,0,2,1,1,0,0,0,6,5,2,1,160,145,90.6,104,98,0,0,11,7,30,28,2,2,0,0,0,0,0,0,0,7,3,8,1,0,0,1,3,2,1,0
2026-04-11 21:12,패,1,2,36,2,0,0,0,0,0,0,0,0,0,2,1,0,0,91,76,83.5,61,55,0,0,6,1,14,12,1,1,0,0,0,0,0,0,0,8,2,3,0,0,0,0,2,1,0,0
2026-04-11 20:59,승,3,2,50,8,0,0,0,5,0,0,0,0,0,8,3,0,0,112,99,88.4,67,65,0,0,12,8,26,21,1,1,0,0,0,0,0,0,0,7,5,4,0,0,0,1,0,0,0,0
2026-04-11 20:47,승,3,0,42,3,0,0,0,0,0,0,0,0,0,3,3,0,0,19,18,94.7,12,12,0,0,1,1,6,5,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0
2026-04-11 20:44,패,1,2,59,2,0,0,0,1,1,0,0,0,0,2,1,0,0,174,158,90.8,123,118,0,0,10,2,26,25,2,2,0,0,0,0,0,0,0,5,5,8,1,0,0,0,1,1,0,0
2026-04-11 20:33,승,1,0,61,1,0,0,0,1,1,0,0,0,0,1,1,0,0,40,36,90,27,24,0,0,3,3,7,7,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0
2026-04-11 20:27,승,3,2,53,7,0,0,0,2,1,0,0,0,0,5,3,2,0,116,102,87.9,72,65,0,0,13,8,25,24,1,1,0,0,0,0,0,0,0,5,5,3,1,0,0,1,0,1,0,0
2026-04-11 20:15,승,4,1,47,10,0,0,0,6,2,0,0,0,0,9,3,1,1,113,105,92.9,67,66,0,0,8,6,25,22,4,2,0,0,0,0,0,0,0,13,10,3,0,0,0,4,0,0,0,0
2026-04-11 20:03,승,4,0,49,7,0,0,0,4,2,0,0,0,0,5,4,1,0,122,109,89.3,71,66,0,0,11,7,26,23,2,1,0,0,0,0,0,0,0,6,5,6,1,0,0,1,2,0,0,0
2026-04-11 19:50,승,2,1,48,5,0,0,0,0,0,0,0,0,0,5,2,0,0,116,106,91.4,72,69,0,0,7,6,29,25,0,0,0,0,0,0,0,0,0,4,3,7,2,0,0,1,1,1,0,0
2026-04-11 19:39,승,3,2,60,8,0,0,0,4,0,0,0,1,1,6,2,1,0,152,139,91.4,97,93,0,0,13,9,30,29,0,0,0,0,0,0,0,0,0,5,3,8,1,0,0,3,0,0,0,0
2026-04-11 17:06,패,1,3,52,1,0,0,0,0,0,0,0,0,0,1,1,0,0,125,112,89.6,92,85,0,0,4,2,19,17,0,0,0,0,0,0,0,0,0,11,7,7,0,0,0,0,0,0,0,0
2026-04-11 16:55,무,2,2,56,6,0,0,0,0,0,1,0,0,0,4,2,2,0,128,115,89.8,90,88,0,0,9,4,21,16,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0
2026-04-11 16:44,패,3,4,46,7,0,0,0,2,0,0,0,0,0,7,3,0,0,110,97,88.2,74,71,0,0,7,3,19,17,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,2,1,0,0,0
2026-04-11 16:31,승,3,2,54,3,0,0,0,1,1,0,0,0,0,2,2,1,1,124,108,87.1,89,84,0,0,9,5,17,14,1,1,0,0,0,0,0,0,0,7,4,4,1,0,0,0,0,0,0,0
2026-04-10 20:15,패,2,3,45,3,0,0,0,2,1,0,0,0,0,3,2,0,0,121,106,87.6,67,63,0,0,9,6,29,25,1,1,0,0,0,0,0,0,0,15,10,5,0,0,0,0,0,1,0,0
2026-04-10 20:03,패,1,3,57,2,0,0,0,0,0,0,0,0,0,2,1,0,0,137,122,89.1,98,90,0,0,7,4,20,18,0,0,0,0,0,0,0,0,0,7,5,5,0,0,0,2,1,3,0,0
2026-04-10 19:52,패,1,3,54,5,0,0,0,1,0,0,0,0,0,3,1,2,0,132,116,87.9,94,87,0,0,5,3,17,13,0,0,0,0,0,0,0,0,0,7,3,5,0,0,0,0,1,2,0,0
2026-04-10 19:40,패,3,4,50,6,0,0,0,2,2,0,0,0,0,6,3,0,0,137,125,91.2,106,99,0,0,7,5,16,14,1,1,0,0,0,0,0,0,0,8,5,7,0,0,0,1,0,1,0,0
2026-04-10 19:29,패,2,6,47,2,0,0,0,1,1,0,0,0,0,2,2,0,0,118,101,85.6,75,67,0,0,5,3,23,19,0,0,0,0,0,0,0,0,0,8,7,8,0,0,0,0,0,0,0,0
2026-04-10 17:00,패,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-10 16:48,승,4,3,50,6,0,0,0,3,2,0,0,0,0,6,4,0,0,116,109,94,70,69,0,0,8,5,25,23,1,1,0,0,0,0,0,0,0,7,5,4,0,0,0,0,2,2,0,0
2026-04-10 16:36,패,2,4,46,5,0,0,0,0,0,0,0,0,0,5,2,0,0,92,80,87,52,49,0,0,12,7,15,13,1,0,0,0,0,0,0,0,0,6,3,8,1,0,0,2,2,1,0,0
2026-04-10 16:23,승,2,0,63,2,0,0,0,0,0,0,0,0,0,2,2,0,0,32,31,96.9,25,25,0,0,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2026-04-10 16:13,패,0,3,47,5,0,0,0,2,0,0,0,0,0,5,0,0,0,121,103,85.1,72,68,0,0,9,5,26,19,0,0,0,0,0,0,0,0,0,7,5,6,0,0,0,3,1,2,1,0
2026-04-10 16:00,무,2,2,54,6,0,0,0,0,0,0,0,0,0,5,2,1,0,127,112,88.2,83,78,0,0,11,8,17,14,1,1,0,0,0,0,0,0,0,7,4,5,1,0,0,0,1,0,0,0
2026-04-10 15:47,승,3,0,53,5,0,0,0,1,0,0,0,0,0,4,2,1,1,141,126,89.4,95,90,0,0,6,6,25,18,1,0,0,0,0,0,0,0,0,7,5,1,0,0,0,0,0,0,0,0
2026-04-10 15:37,패,0,2,55,3,0,0,0,0,0,0,0,0,0,2,0,1,0,137,126,92,88,87,0,0,6,3,29,24,0,0,0,0,0,0,0,0,0,10,7,3,0,0,0,0,1,1,0,0
2026-04-10 15:27,패,2,3,52,6,0,0,0,2,0,0,0,0,0,5,1,1,1,153,141,92.2,105,100,0,0,6,5,29,26,1,0,0,0,0,0,0,0,0,8,7,4,0,0,0,1,1,0,0,0
2026-04-10 14:04,승,4,3,47,7,0,0,0,3,1,0,0,0,0,7,4,0,0,158,143,90.5,94,90,0,0,15,9,38,35,0,0,0,0,0,0,0,0,0,11,8,8,0,0,0,2,1,0,0,0
2026-04-10 13:49,패,1,2,49,4,0,0,0,2,0,0,0,0,0,4,1,0,0,115,103,89.6,72,69,0,0,7,6,19,16,1,1,0,0,0,0,0,0,0,5,1,4,1,0,0,2,0,0,0,0
2026-04-10 13:36,승,4,3,41,10,0,0,0,2,1,0,0,0,0,8,4,2,0,151,133,88.1,105,96,0,0,13,10,16,14,1,1,0,0,0,0,0,0,0,8,4,10,0,0,0,4,0,0,0,0
2026-04-10 13:17,승,2,1,45,3,0,0,0,1,1,0,0,0,0,3,2,0,0,130,119,91.5,93,87,0,0,6,4,16,16,1,0,0,0,0,0,0,0,0,14,6,10,2,0,0,0,0,1,1,0
2026-04-09 14:56,패,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-09 14:52,승,4,3,54,6,0,0,0,0,0,0,0,1,1,3,2,2,1,128,112,87.5,78,74,0,0,7,3,25,21,2,2,0,0,0,0,0,0,0,6,4,7,1,0,0,1,0,1,0,1
2026-04-09 14:39,승,5,2,54,9,0,0,0,3,1,1,0,1,1,7,4,1,0,133,119,89.5,80,73,0,0,10,7,22,22,0,0,0,0,0,0,0,0,0,7,5,5,1,0,0,0,0,0,0,0
2026-04-09 14:27,패,2,4,47,6,0,0,0,3,0,0,0,0,0,6,2,0,0,188,161,85.6,120,114,0,0,10,5,42,35,2,2,0,0,0,0,0,0,0,12,5,6,0,0,0,2,1,0,0,0
2026-04-09 14:10,패,1,4,41,1,0,0,0,0,0,0,0,0,0,1,1,0,0,104,93,89.4,70,66,0,0,4,2,16,15,4,2,0,0,0,0,0,0,0,10,4,2,0,0,0,0,2,0,0,0
2026-04-09 13:58,무,2,2,54,4,0,0,0,1,1,0,0,0,0,4,2,0,0,147,132,89.8,95,89,0,0,7,5,28,25,0,0,0,0,0,0,0,0,0,7,4,7,1,0,0,0,0,1,0,0
2026-04-09 13:47,패,3,4,44,6,0,0,0,3,2,0,0,0,0,6,3,0,0,121,114,94.2,77,75,0,0,6,6,22,22,0,0,0,0,0,0,0,0,0,6,4,5,0,0,0,2,2,0,0,0
2026-04-07 21:44,패,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-07 21:39,패,4,6,47,7,0,0,0,2,1,1,0,0,0,6,4,1,0,150,133,88.7,102,95,0,0,8,7,23,21,1,0,0,0,0,0,0,0,0,9,4,2,0,0,0,0,2,1,0,0
2026-04-07 21:25,패,3,4,56,5,0,0,0,1,1,0,0,0,0,5,3,0,0,164,149,90.9,104,100,0,0,11,7,27,25,0,0,0,0,0,0,0,0,0,21,9,1,0,0,0,1,0,2,0,0
2026-04-07 21:13,패,2,4,46,7,0,0,0,1,0,0,0,0,0,7,2,0,0,183,169,92.3,118,113,0,0,8,7,31,30,0,0,0,0,0,0,0,0,0,10,7,3,0,0,0,1,0,0,0,0
2026-04-07 20:56,승,4,3,48,8,0,0,0,2,1,0,0,0,0,8,4,0,0,132,114,86.4,86,81,0,0,11,7,33,25,0,0,0,0,0,0,0,0,0,14,5,9,0,0,0,3,3,2,0,0
2026-04-07 20:41,승,5,5,47,8,0,0,0,1,0,1,1,0,0,6,4,2,1,179,163,91.1,118,113,0,0,9,9,39,31,1,0,0,0,0,0,0,0,0,14,3,6,0,0,0,0,0,0,0,0
2026-04-07 20:23,승,2,0,48,6,0,0,0,1,0,1,0,0,0,3,1,3,1,109,102,93.6,75,73,0,0,4,3,15,14,2,2,0,0,0,0,0,0,0,7,4,3,0,0,0,1,1,0,0,0
2026-04-07 20:12,승,3,2,42,3,0,0,0,1,1,0,0,0,0,3,3,0,0,97,85,87.6,50,49,0,0,8,4,26,22,1,1,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,1,0,0
2026-04-07 19:57,승,3,0,56,5,0,0,0,0,0,0,0,0,0,4,3,0,0,45,41,91.1,26,24,0,0,3,2,13,12,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,1,0,0
2026-04-07 19:52,패,5,6,55,10,0,0,0,4,2,0,0,0,0,10,5,0,0,191,169,88.5,124,113,0,0,11,7,36,32,3,3,0,0,0,0,0,0,0,13,5,7,2,0,0,3,1,0,0,0
2026-04-07 19:34,승,3,0,55,4,0,0,0,2,2,0,0,0,0,3,3,1,0,74,67,90.5,48,47,0,0,5,4,18,14,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,0,1,0,0,0
2026-04-07 19:27,승,5,1,45,9,0,0,0,4,1,0,0,0,0,9,5,0,0,95,91,95.8,52,50,0,0,7,6,26,26,1,1,0,0,0,0,0,0,0,10,8,3,0,0,0,3,0,1,0,0
2026-04-07 18:54,패,4,5,44,6,0,0,0,0,0,0,0,0,0,5,4,1,0,125,115,92,88,84,0,0,7,5,18,17,1,1,0,0,0,0,0,0,0,11,2,3,0,0,0,0,1,3,0,0
2026-04-07 18:41,패,1,2,37,3,0,0,0,1,1,1,0,0,0,1,1,2,0,104,91,87.5,72,67,0,0,6,2,20,16,0,0,0,0,0,0,0,0,0,13,7,6,0,0,0,1,0,2,0,0
2026-04-07 18:28,패,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-07 18:18,패,2,4,56,2,0,0,0,0,0,0,0,0,0,2,2,0,0,157,145,92.4,113,109,0,0,5,2,26,23,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,0,0,0,0,0
2026-04-07 18:04,승,4,1,56,4,0,0,0,1,1,0,0,1,1,3,3,0,0,133,121,91,86,85,0,0,7,6,29,23,0,0,0,0,0,0,0,0,0,9,4,2,0,0,0,0,0,0,0,0
2026-04-07 17:54,패,2,3,54,4,0,0,0,2,0,0,0,0,0,4,2,0,0,165,153,92.7,106,102,0,0,5,3,40,37,0,0,0,0,0,0,0,0,0,8,2,8,0,0,0,0,0,1,0,0
2026-04-07 17:41,승,3,0,55,4,0,0,0,2,1,0,0,0,0,3,2,1,1,100,92,92,68,63,0,0,6,5,14,14,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,1,0,0
2026-04-07 17:33,패,3,4,48,4,0,0,0,0,0,0,0,0,0,1,1,2,2,128,116,90.6,81,78,0,0,3,0,27,25,0,0,0,0,0,0,0,0,0,13,4,5,0,0,0,1,1,1,0,0
2026-04-07 17:21,패,4,7,52,7,0,0,0,3,2,0,0,0,0,7,4,0,0,192,173,90.1,117,111,0,0,5,5,41,32,1,1,0,0,0,0,0,0,0,9,5,8,2,0,0,1,0,1,0,0
2026-04-07 5:27,승,3,2,57,5,0,0,0,2,1,0,0,0,0,5,3,0,0,137,122,89.1,71,66,0,0,6,5,27,22,1,0,0,0,0,0,0,0,0,11,7,5,0,0,0,1,0,0,0,0
2026-04-07 5:15,승,1,2,41,4,0,0,0,1,0,0,0,0,0,4,1,0,0,84,75,89.3,41,40,0,0,7,6,23,20,0,0,0,0,0,0,0,0,0,12,4,1,0,0,0,2,0,0,0,0
2026-04-07 5:03,승,4,3,46,5,0,0,0,0,0,1,1,1,1,3,2,1,1,125,113,90.4,75,73,0,0,6,4,24,19,2,2,0,0,0,0,0,0,0,12,8,2,0,0,0,0,0,0,0,0
2026-04-07 4:50,패,2,3,48,4,0,0,0,1,0,0,0,0,0,4,2,0,0,140,125,89.3,92,84,0,0,1,1,28,25,0,0,0,0,0,0,0,0,0,15,6,3,0,0,0,0,1,1,0,0
2026-04-07 4:32,승,5,4,60,11,0,0,0,1,0,1,0,0,0,9,5,2,0,214,189,88.3,132,126,0,0,15,8,40,33,0,0,0,0,0,0,0,0,0,10,4,5,0,0,0,4,0,1,0,0
2026-04-07 4:17,패,1,2,56,4,0,0,0,2,0,0,0,0,0,4,1,0,0,120,104,86.7,68,63,0,0,12,4,24,23,2,1,0,0,0,0,0,0,0,6,2,0,0,0,0,2,1,1,0,0
2026-04-07 4:06,무,2,2,54,6,0,0,0,2,1,0,0,0,0,6,2,0,0,135,117,86.7,82,75,0,0,9,5,28,26,0,0,0,0,0,0,0,0,0,6,4,6,2,0,0,3,1,0,0,0
2026-04-07 3:47,승,4,3,48,7,0,0,0,3,2,1,0,0,0,6,4,1,0,116,110,94.8,59,58,0,0,3,3,40,38,1,1,0,0,0,0,0,0,0,5,3,4,0,0,0,1,0,0,0,0
2026-04-07 3:34,패,1,3,56,3,0,0,0,0,0,0,0,0,0,3,1,0,0,165,144,87.3,121,109,0,0,6,3,25,22,2,2,0,0,0,0,0,0,0,9,3,3,0,0,0,2,2,1,0,0
2026-04-07 3:07,패,3,4,49,6,0,0,0,3,2,0,0,0,0,6,3,0,0,160,141,88.1,98,90,0,0,13,9,45,38,0,0,0,0,0,0,0,0,0,18,7,4,0,0,0,2,1,4,0,0
2026-04-07 2:49,승,3,2,41,3,0,0,0,2,2,0,0,0,0,3,3,0,0,118,106,89.8,74,71,0,0,10,6,20,17,5,4,0,0,0,0,0,0,0,13,7,4,0,0,0,2,0,2,0,0
