GK_ID,피슈팅,선방
251167495,4,3
283170597,4,2
251167495,5,1
845242179,2,1
251167495,4,1
234051539,3,0
251167495,1,1
300233267,7,4
253192119,6,2
206177683,3,2
300233267,6,4
513203841,8,6
300233267,3,1
291262621,3,1
300233267,6,3
216162835,7,2
300233267,1,1
804262621,6,4
300192119,3,0
300192119,4,2
825210257,2,2
206173373,2,0
300192119,5,2
846193080,4,3
300192119,5,0
300192119,2,1
845233267,4,0
300192119,2,0
814048940,9,6
300192119,5,1
324024630,7,3
246199987,6,4
300192119,4,1
300192119,9,3
270233267,1,0
260186569,7,4
283211101,5,2
260186569,3,1
256199987,3,2
260186569,4,2
324024630,7,4
828226753,2,1
260186569,4,1
260186569,3,3
300192119,5,3
260186569,5,1
264190941,8,3
260186569,5,2
802163587,7,2
260186569,4,0
300186148,0,0
829220901,9,8
260186569,4,3
829167495,6,1
260186569,3,0
256186153,3,1
256193105,3,0
256186153,2,0
207193080,6,1
256186153,3,0
218221087,0,0
256186153,1,0
852186153,2,0
256186153,5,2
264190941,5,1
251001179,3,1
256186153,3,0
256186153,3,1
216200389,2,0
256186153,3,2
253192119,3,1
256186153,2,1
300263887,2,2
825051539,7,5
265186153,2,0
828215698,6,3
825051539,6,3
274192119,8,4
825051539,2,0
814223885,3,0
825051539,1,1
289190053,5,1
825051539,4,4
300240913,7,2
825051539,4,1
829235073,2,1
825051539,7,3
237190053,3,2
825051539,3,1
825051539,3,1
300186153,3,1
207212831,5,0
825051539,3,1
804262621,1,0
825192119,3,0
265233306,2,2
825192119,3,1
517211738,5,1
825192119,2,0
834210257,6,4
825192119,3,2
270221087,3,1
825192119,1,0
253167495,2,0
825192119,2,2
218215316,5,2
825192119,0,0
825192119,2,1
848192119,5,1
270233267,4,2
825192119,4,3
260213951,3,0
319005479,5,1
260213951,2,2
852048940,3,0
260213951,3,1
826226753,5,0
260213951,9,4
300192119,4,1
260213951,8,3
265186153,5,0
260213951,1,0
828167948,5,2
237210257,4,1
513228789,3,2
206024630,3,1
260213951,5,2
260213951,2,0
300219836,4,3
324024630,1,1
265225116,2,2
265225116,5,4
251048940,5,2
251167495,2,1
265225116,3,0
300252154,4,3
265225116,2,0
300243311,2,0
265225116,5,3
826226753,5,1
265225116,5,2
256199987,4,2
265225116,3,1
268051539,7,3
265225116,5,0
300192119,3,1
265225116,1,0
300220901,9,4
840206585,8,4
300220901,4,0
829189117,7,5
300230670,6,2
300220901,3,0
300220901,3,0
234190941,5,1
826205186,6,2
300220901,6,1
300220901,2,1
260226753,10,5
264230621,0,0
300220901,4,1
300220901,6,0
251192119,4,0
300220901,5,3
289051539,6,2
283170597,4,3
206167948,6,3
237212831,5,2
206167948,8,4
256193105,4,1
206167948,6,2
265234102,4,1
206167948,5,3
834190941,8,4
206167948,6,4
517192563,4,3
206167948,0,0
834190941,3,2
206167948,6,1
284188943,4,3
206167948,5,2
513186153,4,1
206167948,7,5
834230621,3,0
508194404,5,1
324024630,4,1
508194404,2,0
207051539,3,1
508194404,7,3
214150724,6,1
508194404,4,1
216192448,21,7
508194404,5,1
265233306,4,2
508194404,1,1
291211738,2,2
508194404,5,3
851204935,3,1
508194404,3,1
206024630,7,3
508194404,0,0
206024630,7,4
206199482,6,4
206199482,6,2
501215698,7,2
501172723,6,2
206199482,10,4
291262621,3,1
206199482,8,2
834192119,4,1
848190941,5,3
848190941,4,2
852186153,3,0
855192119,3,2
848190941,5,3
517202811,8,3
848190941,3,2
840242948,2,1
300193786,5,2
300193786,11,7
300243311,7,3
300193786,5,1
827051539,3,0
300193786,4,1
214005479,4,0
300193786,3,0
845233267,4,3
251150724,6,3
300193786,9,3
289192119,1,0
300193786,4,1
265233306,1,1
300193786,3,0
851230872,7,4
300193786,3,2
234180739,3,1
300233164,6,1
300233164,6,1
256193105,3,1
300233164,8,3
300212831,5,2
300233164,2,2
270221087,3,0
300233164,3,2
502192119,6,2
834235840,4,1
300233164,2,1
234192119,4,1
300233164,10,2
300233164,3,0
300238186,4,1
300233164,8,5
802163587,0,0
291211738,3,3
300228789,6,3
300228789,0,0
251167495,4,1
300226753,6,3
300228789,4,2
300228789,5,5
828192119,8,4
256199987,7,1
300228789,5,2
206212831,3,2
300228789,3,1
848190941,5,2
300228789,4,1
206177683,5,4
300228789,5,1
300206585,3,3
300228789,4,3
283211101,5,2
260210257,6,4
283211101,4,1
274005479,7,5
283211101,3,0
300243311,1,1
283211101,5,4
834235840,5,3
283211101,4,2
515223885,7,5
283211101,6,4
256167495,2,2
283211101,6,2
324073239,3,2
283211101,4,0
206177683,7,2
283211101,7,4
513203841,2,1
818167495,10,2
508192119,2,1
237212831,4,0
256199987,4,0
237212831,8,5
284216065,9,4
256199987,4,2
845233267,1,0
251150724,2,1
845233267,1,0
101048940,4,1
253192119,2,1
828202811,4,3
101048940,3,1
252163587,3,2
101048940,3,1
513240091,7,1
101048940,2,1
300190941,1,0
840206585,7,4
825210257,7,3
300190941,5,3
300235840,1,0
300190941,5,3
828215698,3,3
300190941,5,4
291262621,5,3
300190941,4,2
256186153,5,4
300190941,2,1
300190941,3,1
856240091,7,4
283211101,4,2
300190941,4,1
265233306,4,2
300190941,5,3
515215698,6,1
300193336,1,0
214192119,3,1
515215698,7,3
284216065,3,0
515215698,1,1
515215698,3,1
840214979,6,2
515215698,3,2
324024630,4,2
515215698,4,2
201051539,4,1
265192119,7,4
515215698,3,2
515215698,3,1
231150724,5,1
265186153,6,2
515215698,4,1
515215698,0,0
283186569,4,0
300243952,6,3
231193080,7,3
300243952,3,2
827051539,6,2
300243952,2,1
289051539,9,5
300243952,2,1
300259532,4,0
300243952,6,3
246199987,6,1
300243952,5,1
216192448,1,1
300243952,2,0
804262621,3,2
300243952,5,1
851220901,4,0
300243952,0,0
265192119,6,3
233192119,4,1
256051539,4,2
501230621,1,0
256051539,5,3
233192119,7,6
265186153,7,4
840215316,6,2
265186153,3,1
206200389,7,3
265186153,3,2
206005479,3,0
265186153,1,1
206024630,3,2
265186153,3,1
101001179,2,1
265186153,4,2
825234642,4,3
265186153,5,0
206024630,4,2
265186153,7,2
265186153,7,3
517233306,7,3
300192119,7,3
289192119,8,5
206206585,2,1
289192119,4,2
828215698,2,2
289192119,4,0
828202811,3,1
289192119,5,1
289005479,4,2
289192119,3,2
233192119,6,1
289192119,6,1
252051539,4,3
829167495,5,2
517204935,3,1
829167495,2,1
300190941,1,0
829167495,4,4
513235073,6,2
829167495,2,1
829167495,5,3
517259532,6,3
829167495,5,0
300192448,5,2
814186569,2,1
293212432,2,1
829167495,4,1
517200389,4,1
834230621,4,3
814186569,7,3
834212831,4,2
836230621,11,5
206024630,3,0
836230621,4,2
836230621,6,4
237212831,5,1
810235073,3,0
836230621,6,5
836230621,12,7
207051539,1,0
827051539,8,4
836230621,1,0
237212831,5,2
836230621,3,1
834212831,8,2
836230621,4,2
836230621,6,3
293212432,6,3
265233306,9,3
324024630,6,2
324024630,3,1
324024630,4,4
218199987,4,2
256005479,3,1
218199987,3,1
237001179,6,0
237210257,5,2
218199987,6,5
834230621,6,3
828200389,5,2
834251752,6,0
834230621,6,1
851230872,1,0
834230621,5,3
214167495,6,4
217210257,4,2
214167495,3,2
237192119,5,2
214167495,6,4
853233286,4,2
214167495,4,1
300193336,1,0
214167495,3,2
818167495,4,4
214167495,6,5
264230621,5,4
214167495,5,3
834215698,2,0
214167495,6,2
265234102,2,1
214167495,6,4
237212831,4,2
300243675,0,0
206177683,4,0
300243675,4,1
300203841,5,2
517235840,4,1
300243675,5,1
300243675,4,2
802167948,5,3
300243675,0,0
834252154,2,0
300243675,2,0
214005479,8,5
300243675,5,2
251167948,8,6
300243675,3,1
300228279,6,3
300243675,7,4
251192119,6,4
324024630,0,0
834235840,3,1
834242948,7,4
834230621,3,0
834242948,4,2
810235073,5,0
834242948,8,2
300200389,2,0
283192448,4,3
234173373,3,2
283192448,7,2
237199987,8,2
283192448,5,2
300192448,4,2
283192448,7,5
251178005,3,1
851220901,10,4
283192448,8,2
283192448,2,0
265234102,7,3
283192448,5,3
300243585,6,0
283192448,4,1
324024630,3,1
283192448,7,3
291211738,5,0
289192119,6,4
253230621,3,2
253230621,3,0
234167495,5,2
300230621,5,1
253230621,5,1
206167948,2,1
253230621,6,3
810230621,10,4
846193080,5,3
280210257,3,0
810230621,8,6
264190941,3,0
810230621,8,5
214005479,6,2
810230621,5,2
300206585,4,1
810230621,2,0
265192119,4,0
515167495,12,9
265192119,8,4
216162835,3,1
265192119,3,1
268051539,4,1
265192119,3,0
300233164,4,2
265192119,5,3
253192119,6,2
265192119,7,2
265234102,6,2
207000488,6,3
265192119,5,4
206193080,5,3
265192119,7,3
265192119,5,2
260230621,8,4
853232065,5,4
201051539,3,3
828200389,4,2
201051539,3,0
201051539,2,0
289192119,3,1
201051539,3,1
810233934,2,0
217212831,8,5
251186153,3,1
251186153,3,1
256168435,4,1
251186153,5,2
231024630,3,0
256210257,6,1
251186153,4,2
251186153,6,4
846202811,3,1
206177683,5,1
237192119,6,4
206177683,6,4
300246139,5,2
206177683,5,3
253192119,6,3
206177683,1,0
323186153,0,0
206177683,8,4
855220901,5,1
206177683,3,1
274192119,9,3
253167948,3,1
206177683,4,2
206177683,5,2
300193105,4,1
206177683,4,0
291262621,3,2
206177683,7,4
829226753,3,2
848192119,3,1
289192119,9,2
848192119,6,4
828192448,5,1
848192119,5,3
283186153,4,0
848192119,4,2
834202811,6,4
848192119,8,3
214192119,3,2
848192119,6,3
253204935,7,2
234051539,8,3
848192119,6,1
836230621,6,3
300230621,4,0
834220901,6,4
300230621,9,3
231173373,7,3
300230621,3,1
300230621,6,3
513234642,7,3
206203042,5,2
300230621,7,2
834210257,6,4
300230621,6,2
300230621,6,2
300228413,6,3
300230621,2,2
834230621,5,1
300230621,1,0
814194404,7,2
834190941,12,4
300230621,4,0
517230869,8,3
300233934,2,1
517230869,6,2
206024630,3,2
517230869,3,1
517246657,5,2
517230869,4,1
251192119,8,5
517230869,2,2
828212831,5,0
517230869,3,2
289192119,3,0
517230869,3,2
291211738,5,2
517230869,9,3
256193105,4,1
517230869,5,2
216162835,5,3
517230869,3,2
834230621,2,1
825234642,4,0
802051539,5,2
802051539,2,1
827048940,3,3
829189117,4,2
802051539,2,1
300228789,4,1
300192448,6,2
289051539,4,2
300192448,2,1
218200726,5,2
300192448,0,0
234051539,2,0
300192448,5,2
251192119,6,2
300192448,2,1
234190941,2,2
300192448,4,1
234051539,6,3
300192448,3,1
283230621,1,0
300192448,5,2
251164835,3,0
300192448,0,0
270193105,7,3
517251752,2,0
270193105,0,0
517185122,4,1
270193105,6,4
256193105,6,4
270193105,6,1
300243675,2,0
270193105,2,1
207000488,7,3
270193105,2,0
300192119,7,2
270193105,3,1
207193080,4,0
270193105,5,1
511233306,6,1
270193105,6,2
237212831,2,2
834192119,4,1
802163587,4,1
300262621,2,1
834192119,5,2
256210257,5,3
260192119,0,0
846044897,4,1
260192119,2,1
251167495,6,2
260192119,4,3
251167495,4,1
260192119,3,1
260192119,3,1
804262621,4,4
251001179,4,1
260192119,8,4
260192119,4,1
265192119,4,1
804262621,3,2
234192119,2,2
300192448,3,1
264230621,3,1
264230621,4,3
206024630,2,1
264230621,4,1
283167495,7,4
264230621,2,2
834212831,4,2
264230621,6,1
256199987,8,3
264230621,7,2
206210257,2,1
264230621,2,1
300278394,5,1
828212831,6,1
234173373,6,2
234173373,7,3
828192448,4,1
834220901,6,5
234173373,3,1
234173373,2,1
201167948,5,1
234173373,5,4
231199987,3,0
234173373,3,0
829226753,2,0
234173373,3,1
845140233,3,2
234173373,4,1
270221087,8,4
201051539,4,0
265234102,5,1
280210257,3,0
517167495,10,5
517167495,3,3
834220901,7,3
828202811,4,0
517167495,3,1
828192119,6,2
517167495,1,0
517167495,8,4
206230621,3,0
260192119,4,3
517167495,6,0
300200389,5,1
517167495,0,0
251167495,8,1
834230621,6,2
253207998,8,4
251167495,4,2
825210257,2,1
834210257,3,1
834210257,5,2
201051539,5,1
218199987,6,1
834210257,0,0
834210257,3,2
206193041,4,1
283211101,5,1
834210257,2,1
834210257,3,1
802167948,5,2
834210257,8,2
828215698,1,0
834210257,2,0
253167495,5,0
834210257,4,2
265234102,2,0
237051539,6,2
829051539,4,1
834242948,3,1
829051539,2,0
264230621,4,2
829051539,2,1
270193105,1,1
829051539,12,8
515215698,4,2
829051539,2,0
848225116,2,1
829051539,3,1
268051539,4,1
829051539,7,5
829051539,4,3
300206585,4,3
829051539,6,3
829051539,2,1
851204935,4,2
828212831,5,4
851204935,3,3
214051539,4,2
848167948,5,3
300233164,4,1
848167948,5,2
324024630,7,4
848167948,8,4
503167495,5,0
237199987,1,1
848167948,4,2
848167948,5,3
513192448,2,1
246188943,5,0
848167948,7,5
848167948,8,5
828192119,3,0
848167948,6,3
251192119,6,1
814227127,5,0
848167948,4,2
206024630,2,1
300243830,5,1
834192119,8,1
300243830,4,1
300259532,5,3
300243830,4,0
234162835,1,0
828226753,8,4
237192119,4,1
828226753,3,1
207000488,4,1
828226753,5,4
264230621,4,3
828226753,7,5
517230621,5,2
517254803,8,5
517230621,4,1
834192119,4,1
517230621,2,2
256051539,5,2
517230621,6,1
834230621,3,1
517230621,2,0
294238570,6,2
517230621,4,4
291211738,5,2
517230621,5,0
260243952,4,1
517230621,2,1
814223885,3,0
517230621,3,0
834210257,5,1
802051539,4,1
517230621,2,1
513186153,1,0
206024630,6,4
265234102,3,0
206024630,5,2
251051539,5,3
206024630,6,3
300212831,4,0
206024630,2,0
828226753,7,2
206024630,6,1
828212831,4,3
206024630,4,1
206024630,2,0
256051539,4,1
828192448,9,6
206024630,4,0
825192448,7,4
206024630,7,1
834212831,3,1
253167495,6,3
253167495,5,3
256051539,5,2
256051539,3,2
253167495,4,2
253167495,2,1
300225395,3,2
253167495,0,0
216230621,2,0
253167495,5,4
834173426,5,3
253167495,6,4
280215698,7,3
265192119,6,2
253167495,5,2
253167495,3,3
231024630,2,0
216200389,7,4
826200389,10,6
826200389,5,3
253192119,6,1
826200389,5,3
856228789,1,0
826200389,3,1
503162835,7,2
826200389,9,6
517251752,4,1
274192119,5,1
826200389,2,0
836167495,3,1
826200389,5,2
826200389,5,3
856203841,5,3
826200389,4,0
324024630,7,2
506001179,1,0
828215698,4,1
506001179,8,3
517230621,7,2
506001179,4,3
517192563,2,0
506001179,1,0
825051539,5,2
506001179,7,5
214051539,4,1
506001179,4,0
802163587,4,4
506001179,7,2
300192119,2,1
506001179,6,0
206203841,2,0
300262621,2,0
506001179,6,3
270233934,5,1
280235073,4,2
300192119,4,2
280235073,3,1
280235073,7,1
253167495,6,3
280235073,6,2
225238570,6,3
280235073,7,4
300215698,3,1
207051539,7,4
280235073,5,0
280235073,6,3
503170597,3,2
273226753,4,1
280235073,1,0
280235073,3,0
300200389,3,3
834230621,4,1
289051539,1,1
834230621,6,3
265233306,10,5
834230621,4,2
256186153,4,0
834230621,8,3
300167495,2,0
256167495,5,1
251192119,5,2
253192119,8,5
256167495,4,1
322162835,2,1
251167495,5,3
251167495,5,2
283211101,6,4
251167495,5,2
852223885,7,2
234167495,8,3
270221087,8,5
234167495,1,1
848167948,4,1
234167495,6,2
251024630,9,4
234167495,1,0
270233934,6,3
825210257,6,3
324024630,3,2
825210257,4,3
206177683,6,2
513240091,5,3
825210257,5,1
825210257,6,3
517227127,7,2
825210257,4,0
851220901,1,0
834235840,4,1
825210257,3,3
825210257,4,0
201192119,3,2
825210257,8,6
513228789,5,2
825210257,1,1
206173373,3,1
804263063,4,2
834220901,6,5
291262621,5,0
804263063,5,3
804263063,2,0
291220901,0,0
804263063,7,2
216192448,5,1
804263063,1,1
206177683,5,2
804263063,6,2
300193105,6,2
804263063,4,3
256210257,6,4
517167495,6,3
804263063,3,2
804263063,4,2
218199987,2,1
804263063,5,1
234167495,7,5
206215316,4,2
237212831,1,0
300192119,5,3
237212831,3,1
840215316,4,1
237212831,6,3
300192119,1,1
237212831,6,2
291227127,5,3
237212831,3,0
291220901,6,3
237212831,5,2
300167495,2,0
300073562,2,1
237212831,7,0
834212831,2,1
513186153,4,0
237212831,4,2
256186153,5,3
217212831,5,2
256186153,4,0
517235840,4,1
829235073,6,2
256186153,4,1
826204935,3,2
256186153,5,1
256186153,6,1
253192119,2,0
265233306,10,6
256186153,6,1
294238570,5,2
256186153,6,3
256186153,2,1
256167495,5,3
256186153,6,4
300192119,6,0
834215698,2,0
834212831,2,2
265186153,7,2
834212831,5,1
834212831,4,1
840215316,5,3
256210257,4,3
834212831,6,1
834212831,3,2
280230621,4,0
217203042,5,4
834212831,2,2
855192119,5,5
834212831,4,0
216234642,3,1
834212831,4,2
834212831,5,3
517235073,7,5
252167948,9,5
815224836,3,0
815224836,6,2
251186153,7,2
815224836,3,2
206164835,2,0
815224836,2,0
825212831,3,1
815224836,4,1
848051539,4,1
851230872,3,0
815224836,2,0
265234102,6,3
815224836,5,3
815224836,6,5
826226753,4,2
252167948,3,0
815224836,3,2
828200389,5,3
251186153,5,3
206024630,3,0
828200389,5,4
256167495,7,3
828200389,8,4
828200389,6,3
256210257,3,0
828200389,1,0
829204883,5,3
828200389,7,4
234162835,4,0
234167948,5,3
828200389,8,5
828200389,5,1
300235840,4,0
207190053,7,2
828200389,6,4
300203841,6,2
853212432,5,1
206177683,2,2
853212432,4,0
834220901,5,4
853212432,7,5
274192119,8,4
853212432,5,3
300211738,3,1
853212432,4,1
834192119,4,1
853212432,5,3
517193698,4,2
853212432,4,2
214192448,5,0
853212432,6,2
853212432,4,1
206024630,4,2
234192119,4,0
265234102,5,2
265234102,8,4
201048940,5,1
291262621,2,1
265234102,6,3
834192119,4,1
265234102,4,1
253167495,10,5
265234102,8,4
237165735,4,2
265234102,8,4
517230621,5,2
265234102,7,4
256186153,4,3
265234102,6,2
265234102,2,1
283186569,5,1
834230621,6,3
825051539,9,5
834230621,5,1
231146748,6,1
834230621,7,1
300233306,3,1
291262621,7,4
834230621,7,3
834230621,8,5
251167495,2,0
834230621,2,0
206193105,6,2
834212831,21,9
834230621,0,0
216000488,5,0
834230621,10,4
834230621,4,1
253204935,8,3
270233934,8,4
251192119,5,1
270233267,2,0
251192119,4,1
834220901,2,0
251192119,9,5
848225116,4,1
270193105,7,5
517259532,3,0
270193105,5,2
265225116,3,1
300230621,5,3
265225116,6,2
517254803,6,2
265225116,5,2
283200316,5,3
231193080,3,1
265225116,4,3
265225116,7,3
300277823,7,3
265225116,6,4
242192119,2,2
265225116,1,0
802167948,10,4
265225116,4,1
827048940,3,1
265225116,4,2
216234642,13,7
217212831,5,1
517224003,3,1
225238570,8,4
835016254,4,2
825212831,6,2
835016254,4,2
835016254,3,0
234167948,1,1
217210257,10,6
828212831,4,3
828212831,2,0
246193105,5,2
828212831,7,4
300233189,2,1
231193080,3,2
513186153,2,0
513186153,6,3
318172723,6,1
206177683,2,0
513186153,7,5
231173426,2,0
513186153,7,4
517215698,5,0
513186153,7,2
513186153,3,1
216192448,4,0
517202811,3,0
513186153,2,2
513186153,1,0
270193105,4,0
802182494,3,1
300167495,4,1
802182494,8,5
111051539,3,1
251192119,7,3
802182494,6,3
802182494,3,2
300192119,3,1
246199987,6,4
206024630,4,1
246199987,2,0
207167495,4,1
237192119,4,1
246199987,4,3
834212831,2,0
251051539,5,3
300243675,4,0
251051539,4,3
855200389,3,1
251051539,7,3
234167495,5,3
251051539,2,0
206024630,4,2
251051539,7,4
828212831,3,1
251051539,5,1
206024630,4,3
251051539,9,4
231024630,3,0
251051539,4,3
517211738,5,2
251051539,9,2
291262621,4,2
804262621,2,1
291262621,4,1
300212831,4,1
291262621,5,1
291262621,2,1
291262621,4,1
251192119,7,3
268051539,5,2
291262621,9,3
517193698,5,2
273226753,4,0
273226753,3,2
207167495,5,2
270234577,8,4
273226753,6,2
845230869,3,0
273226753,3,1
273226753,1,1
291262621,5,1
265186153,3,3
273226753,4,3
206177683,4,4
273226753,7,4
324024630,4,1
273226753,8,4
237193105,1,0
273226753,1,0
300194404,7,3
300212831,6,3
265234102,5,1
300194404,3,1
853233286,2,0
300194404,5,1
300192119,1,0
300194404,0,0
300194404,7,2
300238186,5,3
300206585,1,1
300194404,4,0
825051539,9,5
300194404,7,3
216167948,4,2
300194404,5,1
517227127,1,0
300194404,6,1
251192119,6,2
251167948,5,4
251192119,6,2
825048940,3,1
251192119,5,1
253204935,8,5
289051539,5,0
501230621,5,1
289051539,0,0
283002147,2,0
289051539,6,5
265192119,5,3
206177683,9,5
289051539,4,1
289051539,3,3
251051539,3,1
289051539,5,2
216192448,6,3
289051539,4,1
251192119,1,0
237212831,2,1
234192119,1,0
237212831,5,3
300228413,8,6
237212831,5,3
206192448,6,5
237212831,7,4
206024630,3,0
237212831,5,2
834250753,2,0
237212831,3,1
511215698,3,2
237212831,4,1
283170597,9,4
825210257,1,0
237212831,7,2
217210257,4,1
237212831,2,1
300186148,4,0
283170597,8,4
270193105,2,1
283170597,4,3
265186153,5,2
283170597,5,3
206024630,4,2
283170597,5,4
283170597,5,2
300224251,4,0
280167948,10,6
283170597,2,2
234192119,3,1
283170597,9,6
826192563,3,2
283170597,4,1
270193105,3,2
283170597,8,2
845242179,6,4
300259532,9,3
845242179,5,3
834167495,4,0
828167495,3,1
845242179,5,3
242192119,5,2
845242179,5,2
802200389,3,1
845242179,3,0
234173373,6,3
845242179,5,0
300193105,5,2
845242179,5,1
300225395,2,1
845242179,5,3
300243675,2,0
845242179,1,1
845242179,7,5
214167495,5,2
201051539,8,4
253192119,6,1
828212831,5,3
253192119,4,1
206177683,7,4
517204883,5,3
206177683,2,1
270233934,2,1
206177683,4,3
234162835,4,1
206177683,4,1
218221087,1,0
206177683,6,2
237212831,4,0
206177683,2,0
291211738,7,4
206177683,6,4
270221087,6,3
214024630,4,2
513203841,10,4
513203841,5,4
260210257,4,2
513203841,2,2
825192448,2,1
513203841,4,3
828212831,7,3
513203841,6,5
844199641,7,4
513203841,7,1
828215698,3,0
513203841,5,1
265233306,1,0
217203042,2,2
513203841,1,0
291262621,1,0
283170597,4,1
291262621,4,1
825210257,3,1
206203841,8,5
280212831,6,2
291262621,6,1
840215316,3,2
291262621,4,2
217212831,7,1
291262621,0,0
264190941,5,0
291262621,12,6
251051539,8,2
291262621,3,0
216167948,5,3
280210257,8,3
291262621,6,3
291262621,5,4
291211738,7,4
264190941,7,3
216162835,8,4
216162835,4,2
234190053,3,1
216162835,7,4
256210257,8,3
216162835,5,2
251192119,9,3
216162835,5,3
284216065,6,3
814186569,4,1
216162835,1,0
216162835,4,1
283186569,2,0
216162835,5,4
300167495,3,0
216162835,6,4
265186153,5,0
216230621,4,0
825210257,6,3
851204935,4,1
825210257,2,1
253192119,5,0
825210257,3,1
270233934,5,2
825210257,2,1
834210257,4,1
825210257,2,1
300259065,4,2
825210257,4,2
284216065,4,2
825210257,5,3
517192563,6,3
825210257,4,2
265192119,7,2
825210257,3,0
206173373,4,2
517204883,3,1
206173373,3,0
256168435,4,2
851204935,4,1
206173373,4,0
206173373,10,6
828212831,1,0
206173373,1,0
845242179,2,1
206173373,7,5
206208104,6,2
206173373,6,1
300225149,4,3
206173373,4,0
802051539,2,0
846193080,3,1
270234577,5,3
846193080,8,3
834210257,2,1
300215698,3,2
846193080,8,3
846193080,6,2
517251752,4,3
846193080,7,3
265186153,4,2
846193080,5,3
517259532,4,3
846193080,7,3
515240091,5,1
265225116,8,4
846193080,6,2
846193080,3,0
283167495,3,1
846193080,5,2
265192119,3,0
233192119,2,1
845233267,7,6
845233267,2,0
289019580,7,4
845233267,3,2
207204935,0,0
845233267,4,1
260213951,6,2
206024630,3,1
845233267,5,2
268051539,7,2
845233267,0,0
845233267,5,2
834246139,6,2
300259532,6,2
845233267,2,1
251150724,6,1
845233267,1,0
829235073,7,4
265233306,6,6
804262621,3,1
829235073,4,2
829235073,4,0
848051539,4,1
829235073,4,2
300263063,5,2
829235073,2,2
300192448,3,0
829235073,4,3
246199987,3,1
814048940,5,3
828215698,2,2
300192119,1,0
814048940,7,4
814048940,2,0
828215698,9,3
828230621,3,1
814048940,5,4
289192119,3,1
324024630,3,2
829235073,5,2
324024630,2,1
237210257,6,4
324024630,7,4
284216065,5,2
324024630,0,0
848167948,6,5
324024630,3,1
246199987,5,2
283230621,4,2
246199987,3,1
206186153,3,1
246199987,4,0
828212831,2,0
