PlayerNameID,시즌,이름
840163705,LE,스테브 망당다
300235413,25 LIVE,R. 마이에츠키
300220624,25 LIVE,L. 아코스타
260178086,21 UCL,아단
517201269,25 PL,F. 뢴노우
300219522,25 LIVE,코난 레데스마
805210941,23KB,이창근
300193314,25 LIVE,아이토르
515209981,24 PL,야신 부누
856258239,25 UCL,M. 코할스키
506192448,20 PLA,M. 테어슈테겐
502233306,19 PLA,딘 헨더슨
284150477,RTN,로망 살랑
261191694,22HR,호르헤 캄포스
844224251,25 TOTS,로빈 첸트너
206182494,TB,페르난도 무슬레라
300235574,25 LIVE,루카스 프란사
300228562,25 LIVE,라파엘 잘링거
201139668,NHD,페데리코 마르케티
256169181,BTB,케너트 베르메이르
300232654,25 LIVE,루이스 말라곤
502223885,19 PLA,알렉산더 뉘벨
225228130,TKL,오승훈
280185122,22 UCL,페테르 굴라치
500193080,18 PLA,데헤아
300199005,25 LIVE,매튜 라이언
515192984,24 PL,쿤 카스테일스
101000805,ICON,옌스 레만
515185122,24 PL,페테르 굴라치
287192448,23 TOTS,M. 테어슈테겐
221206652,19 UCL,세르히오 리코
300211348,25 LIVE,S. 디미트리예프스키
820190569,24 TOTS,스테판 프레이
230212831,20 TOTS,알리송
844192119,25 TOTS,티보 쿠르투아
225213001,TKL,박주원
300209987,25 LIVE,마르셀 슈헨
300236033,25 LIVE,다니 카르데나스
808186153,24 TOTY-N,보이치에흐 슈체스니
511202811,22 PL,에미 마르티네스
300210832,25 LIVE,M. 브란데르호르스트
503186153,19 PLS,보이치에흐 슈체스니
513233934,23 PL,에런 램즈데일
260237704,21 UCL,주앙 비르지니아
511223550,22 PL,요나스 오믈린
221201325,19 UCL,C. 터터루샤누
508242656,21 PL,I. 메슬리에
239212432,20KB,조현우
201173373,NHD,세르히오 로메로
267192119,22 TOTS,티보 쿠르투아
503223885,19 PLS,알렉산더 뉘벨
300265526,25 LIVE,G. 레스테
516212432,25KLeague,조현우
300246158,25 LIVE,마스 헤르만센
300248478,25 LIVE,디안트 라마이
101000001,ICON,데이비드 시먼
511193698,22 PL,올리버 바우만
242211515,20 UCL,P. 골리니
815221610,EU24,디부스 데네시
501186153,18 PLS,보이치에흐 슈체스니
508211515,21 PL,P. 골리니
206177723,TB,파브리시오
503185122,19 PLS,페테르 굴라치
259215698,22 TOTY-N,마이크 메냥
300246267,25 LIVE,D. 코타르스키
508190243,21 PL,마르빈 히츠
300204246,25 LIVE,M. 베티넬리
820186153,24 TOTS,보이치에흐 슈체스니
259210257,22 TOTY-N,에데르송
216215223,HOT,왈테르 베니테스
280234577,22 UCL,디오구 코스타
300256726,25 LIVE,M. 켈러
260189342,21 UCL,카를로 핀솔리오
321204966,21 LIVE,아드리안 오르톨라
508221087,21 PL,파우 로페스
511211515,22 PL,P. 골리니
300227529,25 LIVE,매튜 허드슨
230241727,20 TOTS,P. 라이코비치
300246657,25 LIVE,알바로 바예스
502167495,19 PLA,마누엘 노이어
844185122,25 TOTS,페테르 굴라치
300235629,25 LIVE,O. 더 볼프
300258328,25 LIVE,케윈
300251292,25 LIVE,F. 카슈텐마이어
289140233,CC,기예르모 오초아
506223550,20 PLA,요나스 오믈린
508205659,21 PL,알레시오 크라뇨
511242656,22 PL,I. 메슬리에
273199005,WC22,매튜 라이언
324193041,24 LIVE,케일러 나바스
815178005,EU24,후이 파트리시우
217214584,COC,프랑코 아르마니
508192563,21 PL,베른트 레노
502192448,19 PLA,M. 테어슈테겐
242234777,20 UCL,잭 스테픈
225136686,TKL,김영광
506193698,20 PLA,올리버 바우만
506186153,20 PLA,보이치에흐 슈체스니
225203004,TKL,양한빈
508202811,21 PL,에미 마르티네스
234000805,LH,옌스 레만
511210257,22 PL,에데르송
510234748,22KLeague,구성윤
503203841,19 PLS,닉 포프
511231691,22 PL,알반 라퐁
300273047,25 LIVE,A. 융달
287219522,23 TOTS,코난 레데스마
300172553,25 LIVE,요나스 뢰슬
503215698,19 PLS,마이크 메냥
287211990,23 TOTS,O. 블라호디모스
217234777,COC,잭 스테픈
300210676,25 LIVE,W. 팔코네
262242656,21NG,I. 메슬리에
501024630,18 PLS,페페 레이나
508193080,21 PL,데헤아
856222389,25 UCL,니키타 하이킨
300263673,25 LIVE,앤드루
225222600,TKL,이태희
501173373,18 PLS,세르히오 로메로
256190053,BTB,페터 슈마이켈
508193105,21 PL,알퐁스 아레올라
501193105,18 PLS,알퐁스 아레올라
511193080,22 PL,데헤아
501193080,18 PLS,데헤아
234104389,LH,R. 야르스테인
502162835,19 PLA,사미르 한다노비치
300238503,25 LIVE,L. 바인카우프
508223898,21 PL,폴 베르나르도니
502193041,19 PLA,케일러 나바스
300262659,25 LIVE,N. 아투볼루
230186153,20 TOTS,보이치에흐 슈체스니
508167948,21 PL,위고 요리스
201000488,NHD,올리버 칸
273177683,WC22,얀 조머
215199833,19 TOTS,라르스 운네스탈
321203775,21 LIVE,로리스 카리우스
856222263,25 UCL,노르딘 야커스
273167948,WC22,위고 요리스
506192563,20 PLA,베른트 레노
318048940,18 LIVE,페트르 체흐
320167628,20 LIVE,스테판 뤼피에
319252477,19 LIVE,J. 올루와예미
506198009,20 PLA,마티아 페린
273193041,WC22,케일러 나바스
815206585,EU24,케파
294255919,21 KFA,안찬기
221246139,19 UCL,이냐키 페냐
300200316,25 LIVE,티모 호른
508201976,21 PL,알프레드 고미스
242234642,20 UCL,에두아르 멘디
506177683,20 PLA,얀 조머
508212442,21 PL,주제 사
321240311,21 LIVE,루카 지단
300077744,25 LIVE,조지 에번스
221174543,19 UCL,클라우디오 브라보
513188943,23 PL,케빈 트라프
300244810,25 LIVE,토비아스 라왈
300215251,25 LIVE,기도 에레라
300199909,25 LIVE,파바오 페르반
300234748,25 LIVE,구성윤
515202811,24 PL,에미 마르티네스
