PlayerNameID,급여,OVR,키
300199005,5,71,184
515192984,15,95,197
101000805,21,106,190
515185122,15,97,191
287192448,23,110,187
221206652,9,82,195
300211348,5,71,188
820190569,22,110,191
230212831,18,100,191
844192119,27,118,200
225213001,12,85,191
300209987,5,66,188
300236033,5,68,186
808186153,22,109,195
511202811,16,92,195
300210832,5,65,192
503186153,13,88,195
513233934,16,94,191
260237704,13,88,192
511223550,13,88,189
221201325,10,82,196
508242656,11,83,196
239212432,15,95,189
201173373,9,75,192
267192119,21,106,199
503223885,10,79,193
300265526,5,70,188
516212432,15,92,189
300246158,5,69,185
300248478,5,66,188
101000001,21,106,193
511193698,14,91,187
242211515,13,90,194
815221610,21,106,188
501186153,12,84,195
508211515,13,87,194
206177723,9,79,185
503185122,13,88,191
259215698,18,100,191
300246267,5,70,189
508190243,12,84,194
300204246,5,64,194
820186153,23,112,196
259210257,20,105,188
216215223,13,87,191
280234577,19,107,192
300256726,5,65,189
260189342,5,73,194
321204966,5,64,187
508221087,12,85,189
511211515,12,86,194
300227529,5,53,193
230241727,17,99,191
300246657,6,72,191
502167495,15,90,193
844185122,26,117,193
300235629,5,68,190
300258328,5,66,189
300251292,5,65,192
289140233,21,107,185
506223550,10,81,189
508205659,12,86,184
511242656,12,84,196
273199005,14,91,184
324193041,6,74,185
815178005,18,100,190
217214584,11,82,189
508192563,13,88,190
502192448,14,89,187
242234777,14,89,191
225136686,15,94,184
506193698,11,86,187
506186153,14,88,195
225203004,12,85,195
508202811,15,89,195
234000805,15,92,190
511210257,17,95,188
510234748,10,81,195
503203841,11,83,200
511231691,13,88,196
300273047,5,58,195
287219522,22,110,186
300172553,5,65,195
503215698,11,84,191
287211990,21,108,190
217234777,12,85,191
300210676,6,73,196
262242656,15,95,196
501024630,11,81,188
508193080,13,88,192
856222389,25,117,185
300263673,5,68,189
225222600,13,87,188
501173373,9,79,193
256190053,21,105,193
508193105,13,88,195
501193105,10,80,195
511193080,15,94,192
501193080,14,89,193
234104389,13,87,190
502162835,14,89,193
300238503,5,60,198
508223898,11,83,190
502193041,13,89,185
300262659,5,69,190
230186153,17,98,195
508167948,14,91,188
201000488,15,91,188
273177683,17,99,183
215199833,13,88,198
321203775,5,66,189
856222263,24,113,187
273167948,18,102,188
506192563,13,88,190
318048940,6,72,196
320167628,6,72,188
319252477,5,46,191
506198009,12,85,188
273193041,18,101,185
815206585,19,102,188
294255919,14,89,187
221246139,5,68,184
300200316,5,66,192
508201976,11,82,196
242234642,16,97,197
506177683,13,88,183
508212442,12,84,192
321240311,5,62,183
300077744,5,55,190
221174543,9,81,184
513188943,16,95,189
300244810,5,65,195
300215251,5,68,187
300199909,5,65,194
300234748,5,59,195
515202811,17,99,195
